epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.547,1.77387,2.26297,1.26948,0.59261,0.3592,0.32136,0.15812,1.84337,2.17318,1.20322,0.000471266,0.000471266,0.000471266
2,321.991,1.72139,1.49835,1.21934,0.50968,0.38653,0.38905,0.19184,1.72715,1.40652,1.16035,0.000928837,0.000928837,0.000928837
3,464.935,1.69342,1.40116,1.21832,0.64398,0.45496,0.47113,0.23005,1.7758,1.26914,1.23638,0.00136754,0.00136754,0.00136754
4,598.402,1.69962,1.31039,1.21183,0.6436,0.48255,0.49903,0.23806,1.74102,1.22336,1.18217,0.00134412,0.00134412,0.00134412
5,736.137,1.65703,1.22883,1.20044,0.62581,0.48946,0.53498,0.2674,1.73729,1.20597,1.17426,0.00131582,0.00131582,0.00131582
6,856.916,1.6448,1.18731,1.18556,0.65716,0.55872,0.5881,0.29122,1.68314,1.08194,1.14536,0.00128753,0.00128753,0.00128753
7,985.57,1.60415,1.16526,1.17766,0.71643,0.52505,0.58771,0.29213,1.64647,1.00843,1.14172,0.00125923,0.00125923,0.00125923
8,1102.12,1.62705,1.12119,1.17621,0.68207,0.56259,0.61083,0.29553,1.66513,1.06998,1.14686,0.00123094,0.00123094,0.00123094
9,1226.84,1.58416,1.07312,1.1637,0.63775,0.60838,0.63667,0.32873,1.67002,0.98595,1.16635,0.00120265,0.00120265,0.00120265
10,1341.25,1.59962,1.08649,1.17345,0.75907,0.58744,0.66646,0.33428,1.63807,0.99769,1.1362,0.00117435,0.00117435,0.00117435
11,1468.2,1.5732,1.028,1.15923,0.67337,0.60419,0.64561,0.32078,1.67088,0.98192,1.15925,0.00114606,0.00114606,0.00114606
12,1625.99,1.55627,1.01303,1.14559,0.7391,0.5625,0.62707,0.31234,1.61895,0.96484,1.12865,0.00111776,0.00111776,0.00111776
13,1787.51,1.56827,1.01776,1.14719,0.76588,0.59684,0.66854,0.34389,1.62126,0.94134,1.11933,0.00108947,0.00108947,0.00108947
14,1939.18,1.5632,0.98877,1.13675,0.75379,0.55066,0.62387,0.32343,1.63092,0.93809,1.13787,0.00106118,0.00106118,0.00106118
15,2090.44,1.58225,0.98103,1.13719,0.75692,0.56937,0.63635,0.3339,1.61878,0.96091,1.11653,0.00103288,0.00103288,0.00103288
16,2232.26,1.51345,0.96948,1.14088,0.81574,0.58842,0.68585,0.36683,1.58466,0.86326,1.11466,0.00100459,0.00100459,0.00100459
17,2397.48,1.53331,0.95142,1.12799,0.80766,0.59841,0.66111,0.35265,1.60007,0.91496,1.13269,0.000976293,0.000976293,0.000976293
18,2527.75,1.49701,0.92625,1.1231,0.72156,0.6072,0.6414,0.34473,1.56868,0.88854,1.10726,0.000947999,0.000947999,0.000947999
19,2651.32,1.49046,0.91828,1.11387,0.78381,0.61382,0.69344,0.36671,1.5972,0.88591,1.10996,0.000919704,0.000919704,0.000919704
20,2823.58,1.52516,0.91581,1.11886,0.73797,0.61158,0.68926,0.37216,1.55345,0.83434,1.10213,0.00089141,0.00089141,0.00089141
21,2967.63,1.51593,0.8983,1.12234,0.80619,0.61972,0.69016,0.37927,1.56749,0.85559,1.10199,0.000863116,0.000863116,0.000863116
22,3091.75,1.45766,0.88447,1.11911,0.73934,0.62702,0.68132,0.36765,1.56329,0.87047,1.10126,0.000834822,0.000834822,0.000834822
23,3230.85,1.46018,0.85913,1.10394,0.78759,0.6487,0.69834,0.3637,1.58891,0.8444,1.10572,0.000806528,0.000806528,0.000806528
24,3365.75,1.46519,0.85993,1.10761,0.80128,0.65185,0.70766,0.38029,1.56822,0.8372,1.09135,0.000778233,0.000778233,0.000778233
25,3486.47,1.46953,0.85608,1.10545,0.75565,0.66257,0.70721,0.39349,1.54057,0.8139,1.09704,0.000749939,0.000749939,0.000749939
26,3608.16,1.46959,0.87006,1.11252,0.81394,0.62121,0.71597,0.38137,1.56977,0.84765,1.1012,0.000721645,0.000721645,0.000721645
27,3739.58,1.47817,0.85068,1.09894,0.80868,0.62735,0.71849,0.38906,1.55012,0.81638,1.09427,0.000693351,0.000693351,0.000693351
28,3856.37,1.43686,0.83617,1.09657,0.80255,0.66354,0.73342,0.39103,1.51511,0.80762,1.08621,0.000665057,0.000665057,0.000665057
29,3979.39,1.42914,0.83026,1.09461,0.77811,0.70479,0.74336,0.39858,1.52674,0.7998,1.08051,0.000636762,0.000636762,0.000636762
30,4095.37,1.42729,0.82536,1.10013,0.7601,0.67477,0.71179,0.38599,1.52315,0.79707,1.09041,0.000608468,0.000608468,0.000608468
31,4199.7,1.4344,0.81125,1.07605,0.82069,0.6399,0.71986,0.39195,1.51936,0.79394,1.09351,0.000580174,0.000580174,0.000580174
32,4339.09,1.41941,0.79233,1.08012,0.79119,0.6688,0.72665,0.39044,1.54115,0.78916,1.09405,0.00055188,0.00055188,0.00055188
33,4478.13,1.41847,0.80277,1.08626,0.8311,0.66867,0.74262,0.40567,1.52358,0.79861,1.08342,0.000523586,0.000523586,0.000523586
34,4621.07,1.40349,0.79273,1.08521,0.79511,0.66359,0.71957,0.3875,1.53526,0.78306,1.08883,0.000495291,0.000495291,0.000495291
35,4764.76,1.40505,0.77641,1.07568,0.78013,0.65224,0.72005,0.39238,1.53941,0.78247,1.09217,0.000466997,0.000466997,0.000466997
36,4902.94,1.41195,0.77604,1.07632,0.79104,0.66688,0.73493,0.40287,1.52051,0.7704,1.07653,0.000438703,0.000438703,0.000438703
37,5035.36,1.36715,0.76435,1.06307,0.82324,0.6541,0.73176,0.39502,1.52978,0.76531,1.08857,0.000410409,0.000410409,0.000410409
38,5172.75,1.37249,0.75931,1.06305,0.83162,0.66283,0.73647,0.40833,1.52302,0.77418,1.08205,0.000382115,0.000382115,0.000382115
39,5319.08,1.36734,0.73633,1.05894,0.79822,0.65483,0.73696,0.40661,1.52571,0.76809,1.08687,0.00035382,0.00035382,0.00035382
40,5450.98,1.37525,0.75292,1.07039,0.79334,0.66525,0.71957,0.39557,1.52757,0.77435,1.08308,0.000325526,0.000325526,0.000325526
41,5574.29,1.32763,0.67872,1.05929,0.80009,0.70133,0.75686,0.41414,1.51962,0.75347,1.08453,0.000297232,0.000297232,0.000297232
42,5703.57,1.32258,0.66477,1.05177,0.84988,0.66295,0.74363,0.41225,1.50705,0.778,1.07812,0.000268938,0.000268938,0.000268938
43,5833.61,1.3,0.65144,1.04661,0.84296,0.64646,0.74608,0.41051,1.51036,0.76275,1.07779,0.000240644,0.000240644,0.000240644
44,22874.4,1.30185,0.64393,1.04148,0.87633,0.61703,0.73501,0.40384,1.51744,0.76053,1.07892,0.000212349,0.000212349,0.000212349
45,22998.5,1.29406,0.64534,1.03981,0.84598,0.64213,0.75284,0.41775,1.49934,0.75838,1.07668,0.000184055,0.000184055,0.000184055
46,23110.1,1.28982,0.64486,1.03786,0.83156,0.65647,0.74162,0.40959,1.50589,0.74715,1.07991,0.000155761,0.000155761,0.000155761
47,23244.2,1.27325,0.62635,1.02797,0.80348,0.66922,0.74723,0.41381,1.49007,0.74473,1.07371,0.000127467,0.000127467,0.000127467
48,23380.3,1.27064,0.62836,1.03073,0.852,0.66201,0.74764,0.42127,1.49098,0.74011,1.07366,9.91726e-05,9.91726e-05,9.91726e-05
49,23507.6,1.2689,0.61482,1.02841,0.812,0.67046,0.75027,0.42004,1.48259,0.7358,1.06808,7.08784e-05,7.08784e-05,7.08784e-05
50,23669.8,1.25817,0.61399,1.02529,0.854,0.6474,0.74728,0.42305,1.48125,0.73152,1.06821,4.25842e-05,4.25842e-05,4.25842e-05
